City,MedianIncome,VisibleMinorities,lat,lng,Province,population,ImmigrationPop,Distribution,ImmigrationProportion,ImmigrationPopRecent,DistributionRecent,ProportionRecent,MinorityProportion
Regina,84447.0,30965,50.45,-104.616667,Saskatchewan,176183,36910.0,0.5,15.9,16195.0,1.3,7.0,17.57547549990635
Edmonton,94447.0,279280,53.55,-113.5,Alberta,1058000,308610.0,4.1,23.8,78520.0,6.5,6.1,26.396975425330815
Calgary,99583.0,355315,51.083333,-114.08333300000001,Alberta,1110000,404700.0,5.4,29.4,93255.0,7.7,6.8,32.010360360360366
Lethbridge,75452.0,9440,49.7,-112.83333300000001,Alberta,70617,15365.0,0.2,13.5,3405.0,0.3,3.0,13.367885919821006
Kelowna,71127.0,11890,49.9,-119.483333,British Columbia,125109,26455.0,0.4,13.9,2995.0,0.2,1.6,9.503712762471125
Winnipeg,70795.0,151555,49.883333,-97.166667,Manitoba,632063,181965.0,2.4,23.9,52460.0,4.3,6.9,23.977831323776268
Abbotsford,73598.0,13205,49.05,-122.3,British Columbia,151683,43780.0,0.6,24.8,5880.0,0.5,3.3,8.705655874422314
Sudbury,71687.0,4515,46.5,-80.966667,Ontario,157857,9360.0,0.1,5.8,1000.0,0.1,0.6,2.8601835838765464
Québec,65359.0,27660,46.8,-71.25,Québec,624177,44550.0,0.6,5.7,13445.0,1.1,1.7,4.4314353140215035
Vancouver,72662.0,985850,49.25,-123.13333300000001,British Columbia,2313328,989545.0,13.1,40.8,142535.0,11.8,5.9,42.616092486668556
Thunder Bay,68476.0,3735,48.4,-89.233333,Ontario,99334,10490.0,0.1,8.8,695.0,0.1,0.6,3.7600418789135643
Kingston,71195.0,9865,44.3,-76.56666700000001,Ontario,114195,18400.0,0.2,11.8,1725.0,0.1,1.1,8.638731993519857
Montréal,61790.0,691815,45.5,-73.583333,Québec,3678000,936305.0,12.4,23.4,179270.0,14.8,4.5,18.809543230016313
Halifax,69522.0,34915,44.65,-63.6,Nova Scotia,359111,37210.0,0.5,9.4,9420.0,0.8,2.4,9.722620582493992
Hamilton,75464.0,100175,43.256101,-79.857484,Ontario,721053,177075.0,2.3,24.1,17420.0,1.4,2.4,13.892876113128994
Trois-Rivières,51850.0,3215,46.35,-72.55,Québec,119693,4815.0,0.1,3.2,1340.0,0.1,0.9,2.6860384483637305
Moncton,62871.0,4980,46.09652,-64.79757,New Brunswick,90635,7955.0,0.1,5.6,2840.0,0.2,2.0,5.49456611684228
Sherbrooke,53747.0,8500,45.4,-71.9,Québec,139652,14550.0,0.2,7.1,3940.0,0.3,1.9,6.086558015638873
Belleville,63902.0,3220,44.166667,-77.383333,Ontario,43990,7365.0,0.1,7.3,550.0,0.0,0.5,7.319845419413504
Peterborough,64777.0,4455,44.3,-78.333333,Ontario,83627,10060.0,0.1,8.5,745.0,0.1,0.6,5.327226852571538
Ottawa,82053.0,215695,45.416667,-75.7,Ontario,1145000,255800.0,3.4,19.7,37890.0,3.1,2.9,18.837991266375546
Barrie,80788.0,13205,44.383333,-79.7,Ontario,182041,26140.0,0.3,13.4,2040.0,0.2,1.0,7.253860394087046
Toronto,78373.0,2429565,43.666667,-79.416667,Ontario,5213000,2705550.0,35.9,46.1,356930.0,29.4,6.1,46.605889123345484
Kitchener,77229.0,76860,43.446976,-80.472484,Ontario,417001,118615.0,1.6,23.0,13975.0,1.2,2.7,18.431610475754255
London,64743.0,60130,42.983333,-81.25,Ontario,346765,94690.0,1.3,19.5,11955.0,1.0,2.5,17.34027367237178
Windsor,65983.0,50740,42.301649,-83.030744,Ontario,319246,74495.0,1.0,22.9,10105.0,0.8,3.1,15.893699529516422
