"Table 1 – Geographic distribution of immigrants and recent immigrants and their proportion within the population of census metropolitan areas, Canada, 2016"
," Immigrant population",,," Recent immigrants (2011 to 2016)",,,
" "," number"," distribution{1} (%)"," proportion{2} (%)"," number"," distribution{1} (%)"," proportion{2} (%)"
"Canada","7540830","100.0","21.9","1212075","100.0","3.5"
"Toronto","2705550","35.9","46.1","356930","29.4","6.1"
"Montréal","936305","12.4","23.4","179270","14.8","4.5"
"Vancouver","989545","13.1","40.8","142535","11.8","5.9"
"Calgary","404700","5.4","29.4","93255","7.7","6.8"
"Ottawa–Gatineau","255800","3.4","19.7","37890","3.1","2.9"
"Edmonton","308610","4.1","23.8","78520","6.5","6.1"
"Québec","44550","0.6","5.7","13445","1.1","1.7"
"Winnipeg","181965","2.4","23.9","52460","4.3","6.9"
"Hamilton","177075","2.3","24.1","17420","1.4","2.4"
"Kitchener–Cambridge–Waterloo","118615","1.6","23.0","13975","1.2","2.7"
"London","94690","1.3","19.5","11955","1.0","2.5"
"Halifax","37210","0.5","9.4","9420","0.8","2.4"
"St. Catharines–Niagara","67190","0.9","16.9","4990","0.4","1.3"
"Oshawa ","67570","0.9","18.0","4545","0.4","1.2"
"Victoria ","65610","0.9","18.3","7690","0.6","2.1"
"Windsor","74495","1.0","22.9","10105","0.8","3.1"
"Saskatoon ","45155","0.6","15.6","18585","1.5","6.4"
"Regina","36910","0.5","15.9","16195","1.3","7.0"
"Sherbrooke","14550","0.2","7.1","3940","0.3","1.9"
"St. John’s","8135","0.1","4.0","2685","0.2","1.3"
"Barrie","26140","0.3","13.4","2040","0.2","1.0"
"Kelowna","26455","0.4","13.9","2995","0.2","1.6"
"Abbotsford–Mission","43780","0.6","24.8","5880","0.5","3.3"
"Greater Sudbury","9360","0.1","5.8","1000","0.1","0.6"
"Saguenay","2040","0.0","1.3","405","0.0","0.3"
"Kingston","18400","0.2","11.8","1725","0.1","1.1"
"Trois-Rivières","4815","0.1","3.2","1340","0.1","0.9"
"Guelph","30880","0.4","20.6","3680","0.3","2.5"
"Moncton","7955","0.1","5.6","2840","0.2","2.0"
"Brantford","16465","0.2","12.5","1105","0.1","0.8"
"Saint John ","6645","0.1","5.4","1995","0.2","1.6"
"Thunder Bay","10490","0.1","8.8","695","0.1","0.6"
"Peterborough","10060","0.1","8.5","745","0.1","0.6"
"Lethbridge","15365","0.2","13.5","3405","0.3","3.0"
"Belleville","7365","0.1","7.3","550","0.0","0.5"
"Non-CMA","670385","8.9","6.7","105865","8.7","1.1"
"","","","","","",""
"1. The distribution shows the percentage breakdown of the immigrant population (or recent immigrants) in Canada by census metropolitan area."
"2. The proportion shows the percentage of immigrants (or recent immigrants) in a given geographical area compared to the total population living in this same geographical area."
"Source(s):"
"Statistics Canada, Census of Population, 2016."
