City,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Abbotsford,Sandwich Place,Fast Food Restaurant,Sushi Restaurant,Breakfast Spot,Pizza Place,American Restaurant,Burger Joint,Italian Restaurant,Chinese Restaurant,Gastropub
Barrie,Pizza Place,Bakery,Thai Restaurant,Fast Food Restaurant,Diner,American Restaurant,Italian Restaurant,Burger Joint,Sandwich Place,Vietnamese Restaurant
Belleville,Fast Food Restaurant,Sandwich Place,Pizza Place,Italian Restaurant,Diner,Thai Restaurant,Burger Joint,Steakhouse,French Restaurant,Chinese Restaurant
Calgary,Vietnamese Restaurant,Italian Restaurant,Steakhouse,BBQ Joint,Gastropub,Burger Joint,Breakfast Spot,Diner,Noodle House,Japanese Restaurant
Edmonton,Italian Restaurant,Chinese Restaurant,Pizza Place,French Restaurant,Asian Restaurant,Bakery,Japanese Restaurant,Steakhouse,Breakfast Spot,Gastropub
Halifax,Breakfast Spot,Sushi Restaurant,Steakhouse,Italian Restaurant,Burger Joint,Seafood Restaurant,Japanese Restaurant,Bakery,Burrito Place,Diner
Hamilton,Pizza Place,Vietnamese Restaurant,Burger Joint,Italian Restaurant,Sushi Restaurant,Mediterranean Restaurant,Breakfast Spot,Fried Chicken Joint,Donut Shop,German Restaurant
Kelowna,Fast Food Restaurant,Breakfast Spot,Japanese Restaurant,Pizza Place,Burger Joint,Gastropub,Vietnamese Restaurant,Deli / Bodega,New American Restaurant,Sandwich Place
Kingston,Italian Restaurant,Breakfast Spot,Bakery,Pizza Place,Sushi Restaurant,Fast Food Restaurant,Sandwich Place,Mexican Restaurant,Thai Restaurant,Diner
Kitchener,Italian Restaurant,Bakery,Thai Restaurant,American Restaurant,Middle Eastern Restaurant,Sandwich Place,Steakhouse,Bistro,Mexican Restaurant,BBQ Joint
Lethbridge,Fast Food Restaurant,Sandwich Place,American Restaurant,Pizza Place,Steakhouse,Breakfast Spot,Burger Joint,Diner,Gastropub,Vietnamese Restaurant
London,Pizza Place,Italian Restaurant,Gastropub,Deli / Bodega,Middle Eastern Restaurant,Seafood Restaurant,Diner,Vietnamese Restaurant,Indian Restaurant,Japanese Restaurant
Moncton,Fast Food Restaurant,Italian Restaurant,Seafood Restaurant,Breakfast Spot,Wings Joint,Sandwich Place,Vietnamese Restaurant,Bakery,Pizza Place,Gastropub
Montréal,French Restaurant,Portuguese Restaurant,Japanese Restaurant,Taco Place,Pizza Place,Italian Restaurant,Deli / Bodega,BBQ Joint,Vegetarian / Vegan Restaurant,Gastropub
Ottawa,New American Restaurant,Vietnamese Restaurant,Seafood Restaurant,Noodle House,Italian Restaurant,Breakfast Spot,Asian Restaurant,Middle Eastern Restaurant,Mexican Restaurant,Chinese Restaurant
Peterborough,Fast Food Restaurant,Pizza Place,Sandwich Place,Breakfast Spot,Gastropub,Mexican Restaurant,New American Restaurant,Sushi Restaurant,Burger Joint,Wings Joint
Québec,Gastropub,French Restaurant,Burger Joint,Bakery,Bagel Shop,Japanese Restaurant,Bistro,Pizza Place,Breakfast Spot,Falafel Restaurant
Regina,Pizza Place,Sandwich Place,Gastropub,Breakfast Spot,Indian Restaurant,Fast Food Restaurant,Thai Restaurant,Diner,Korean Restaurant,Steakhouse
Sherbrooke,Breakfast Spot,Fast Food Restaurant,Sandwich Place,French Restaurant,Pizza Place,Vietnamese Restaurant,American Restaurant,Thai Restaurant,Molecular Gastronomy Restaurant,Italian Restaurant
Sudbury,Fast Food Restaurant,Sandwich Place,Pizza Place,Italian Restaurant,Wings Joint,Sushi Restaurant,Bakery,Burger Joint,Chinese Restaurant,American Restaurant
Thunder Bay,Sandwich Place,Fast Food Restaurant,Pizza Place,American Restaurant,Breakfast Spot,Gastropub,Chinese Restaurant,New American Restaurant,Bakery,Steakhouse
Toronto,Italian Restaurant,Vegetarian / Vegan Restaurant,Indian Restaurant,Sandwich Place,Asian Restaurant,Tapas Restaurant,Mexican Restaurant,Pizza Place,Doner Restaurant,Vietnamese Restaurant
Trois-Rivières,Sandwich Place,Fast Food Restaurant,Breakfast Spot,Italian Restaurant,Gastropub,American Restaurant,Steakhouse,Sushi Restaurant,Comfort Food Restaurant,Thai Restaurant
Vancouver,Seafood Restaurant,Indian Restaurant,Bakery,Pizza Place,Japanese Restaurant,Mac & Cheese Joint,Vegetarian / Vegan Restaurant,French Restaurant,Chinese Restaurant,Vietnamese Restaurant
Windsor,American Restaurant,Burger Joint,Steakhouse,Diner,Italian Restaurant,Bakery,Thai Restaurant,Deli / Bodega,New American Restaurant,Sandwich Place
Winnipeg,Pizza Place,Steakhouse,Bakery,Vietnamese Restaurant,Burger Joint,Sandwich Place,Breakfast Spot,Italian Restaurant,Indian Restaurant,Asian Restaurant
